title,genre,year,description
Thor: Ragnarok,Comedy,2017,Thor must escape captivity and save Asgard from the goddess of death.
Black Panther,Action,2018,T'Challa returns home to Wakanda to take his place as king and protect his nation.
Guardians of the Galaxy,Adventure,2014,A group of misfits band together to protect the galaxy from a powerful villain.
Doctor Strange,Fantasy,2016,A brilliant surgeon learns the mystic arts after a career-ending accident.
Deadpool,Action,2016,A wisecracking mercenary gains accelerated healing powers and adopts the alter ego Deadpool.
Star Wars: A New Hope,Sci-Fi,1977,A young farm boy joins the Rebellion to fight the evil Galactic Empire.
Star Wars: The Empire Strikes Back,Sci-Fi,1980,The Rebel Alliance faces the full might of the Empire while Luke trains as a Jedi.
Star Wars: Return of the Jedi,Sci-Fi,1983,The Rebels launch a final assault to defeat the Empire and save Han Solo.
Star Wars: The Force Awakens,Sci-Fi,2015,A new generation of heroes rises to fight the First Order.
Star Wars: The Last Jedi,Sci-Fi,2017,Rey seeks the guidance of Luke Skywalker as the Resistance faces annihilation.
Rogue One: A Star Wars Story,Sci-Fi,2016,Rebels unite to steal the plans for the Death Star.
Harry Potter and the Sorcerer's Stone,Fantasy,2001,A young boy discovers he is a wizard and begins his education at Hogwarts.
Harry Potter and the Chamber of Secrets,Fantasy,2002,Harry investigates a mysterious force petrifying students at Hogwarts.
Harry Potter and the Prisoner of Azkaban,Fantasy,2004,Harry learns about an escaped prisoner who may be connected to his past.
Harry Potter and the Goblet of Fire,Fantasy,2005,Harry is mysteriously entered into a dangerous magical tournament.
Harry Potter and the Order of the Phoenix,Fantasy,2007,Harry forms a secret group to prepare fellow students for the return of Voldemort.
Harry Potter and the Half-Blood Prince,Fantasy,2009,Harry learns more about Voldemort's past to find a way to defeat him.
Harry Potter and the Deathly Hallows Part 2,Fantasy,2011,Harry and his friends face the final battle against Voldemort.
The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001,A hobbit sets out on a quest to destroy a powerful ring and save Middle-earth.
The Lord of the Rings: The Two Towers,Fantasy,2002,The fellowship is scattered as the fight against the dark lord Sauron intensifies.
The Lord of the Rings: The Return of the King,Fantasy,2003,The final battle for Middle-earth begins as Frodo nears Mount Doom.
The Hobbit: An Unexpected Journey,Fantasy,2012,Bilbo Baggins joins a group of dwarves on a quest to reclaim their homeland.
Jurassic Park,Adventure,1993,A theme park of cloned dinosaurs descends into chaos when the creatures escape.
The Lost World: Jurassic Park,Adventure,1997,A team returns to an island of genetically engineered dinosaurs.
Jurassic World,Adventure,2015,A new dinosaur theme park faces disaster when a genetically modified hybrid escapes.
Jurassic World: Fallen Kingdom,Adventure,2018,Characters return to Isla Nublar to save the dinosaurs from a volcanic eruption.
Fast & Furious,Action,2009,An undercover cop infiltrates a street racing crew tied to a drug trafficking ring.
Fast Five,Action,2011,A crew of street racers plans a heist against a corrupt businessman.
Furious 7,Action,2015,The crew must confront a vengeful assassin seeking to avenge his brother.
F9: The Fast Saga,Action,2021,Dom and his crew face off against a deadly assassin who is also Dom's brother.
Mission: Impossible,Action,1996,An IMF agent must uncover a mole after his team is killed on a mission.
Mission: Impossible - Fallout,Action,2018,Ethan Hunt races against time after a mission goes wrong.
John Wick: Chapter 4,Action,2023,John Wick uncovers a path to defeating the High Table once and for all.
The Conjuring,Horror,2013,Paranormal investigators help a family terrorized by a dark presence in their farmhouse.
The Conjuring 2,Horror,2016,Paranormal investigators travel to England to help a family besieged by a malevolent spirit.
Annabelle,Horror,2014,A couple begins to experience terrifying supernatural events involving a vintage doll.
Get Out,Horror,2017,A young man uncovers a disturbing secret when he meets his girlfriend's family.
Hereditary,Horror,2018,A family is haunted by tragedy and disturbing secrets after the death of their grandmother.
It,Horror,2017,A group of kids face their fears as they battle a shape-shifting entity that preys on children.
It Chapter Two,Horror,2019,The Losers Club reunites as adults to finally defeat the evil clown Pennywise.
A Quiet Place,Horror,2018,A family must live in silence to avoid attracting creatures that hunt by sound.
Toy Story,Animation,1995,A cowboy doll is threatened when a new spaceman action figure supplants him as top toy.
Toy Story 3,Animation,2010,The toys are accidentally donated to a daycare and plan their escape.
Shrek,Animation,2001,An ogre agrees to rescue a princess in exchange for getting his swamp back.
Shrek 2,Animation,2004,"Shrek and Fiona visit her parents, who are not exactly thrilled with her new husband."
Frozen,Animation,2013,"A fearless princess sets off to find her sister, whose icy powers have trapped their kingdom in eternal winter."
Frozen II,Animation,2019,Elsa and her friends journey to discover the origin of her powers.
Despicable Me,Animation,2010,"A supervillain adopts three orphan girls as part of a plan, only to become their loving father."
Inside Out,Animation,2015,The emotions inside a young girl's mind try to guide her through a difficult family move.
Coco,Animation,2017,A young boy travels to the Land of the Dead to uncover his family's musical history.
Up,Animation,2009,An elderly widower ties thousands of balloons to his house to fly to South America.
Inception,Sci-Fi,2010,A thief who steals secrets through dream-sharing technology is given a chance to erase his past crimes.
Interstellar,Sci-Fi,2014,A team of explorers travel through a wormhole in search of a new home for humanity.
The Matrix,Sci-Fi,1999,A hacker discovers that reality as he knows it is a simulation controlled by machines.
The Matrix Reloaded,Sci-Fi,2003,Neo and his allies race to defend Zion from an approaching army of machines.
Blade Runner 2049,Sci-Fi,2017,A young blade runner uncovers a secret that could plunge society into chaos.
The Shawshank Redemption,Drama,1994,"Two imprisoned men bond over the years, finding solace and eventual redemption."
The Godfather,Crime,1972,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
The Godfather Part II,Crime,1974,The early life of Vito Corleone and the continuing saga of his son Michael are portrayed.
Forrest Gump,Drama,1994,The story of a man with a low IQ who witnesses and influences several historic events.
Pulp Fiction,Crime,1994,"The lives of two mob hitmen, a boxer and a gangster's wife intertwine in violent, comic ways."
Fight Club,Drama,1999,An insomniac office worker forms an underground fight club that spirals out of control.
Titanic,Romance,1997,A poor artist and a wealthy young woman fall in love aboard the ill-fated ship.
Avatar,Sci-Fi,2009,A paraplegic marine is sent to the moon Pandora and becomes torn between orders and defending its people.
Avatar: The Way of Water,Sci-Fi,2022,Jake Sully and his family fight to protect Pandora from returning threats.
La La Land,Musical,2016,A jazz musician and an aspiring actress fall in love while pursuing their dreams in Los Angeles.
Whiplash,Drama,2014,A young drummer is pushed to his limits by a ruthless music conservatory instructor.
Parasite,Thriller,2019,A poor family schemes to become employed by a wealthy household by posing as unrelated strangers.
The Grand Budapest Hotel,Comedy,2014,A concierge and his protege become embroiled in a scheme involving a stolen painting.
Coraline,Animation,2009,A girl discovers an alternate version of her life through a secret door in her new home.
The Nightmare Before Christmas,Animation,1993,The king of Halloween Town discovers Christmas Town and tries to take over the holiday.
Barbie,Comedy,2023,Barbie and Ken venture from Barbieland to the real world and discover the joys and perils of being human.
Oppenheimer,Drama,2023,The story of J. Robert Oppenheimer and his role in the development of the atomic bomb.
Dune,Sci-Fi,2021,A young nobleman travels to a dangerous desert planet to secure the future of his family.
Dune: Part Two,Sci-Fi,2024,Paul Atreides unites with the Fremen to seek revenge against the conspirators who destroyed his family.
The Super Mario Bros. Movie,Animation,2023,Mario and Luigi travel through a magical portal to save the Mushroom Kingdom.
Minions,Animation,2015,The Minions search for a new evil master to serve after their previous ones perish.
Sonic the Hedgehog,Action,2020,A speedy blue hedgehog teams up with a small-town police officer to stop an evil scientist.
Godzilla vs. Kong,Action,2021,Two ancient titans clash in an epic battle for supremacy.
Venom,Action,2018,A journalist becomes bonded to an alien symbiote that gives him superhuman powers.
Aquaman,Action,2018,Arthur Curry learns he is the heir to the underwater kingdom of Atlantis.
Shazam!,Fantasy,2019,A teenage boy is granted the ability to transform into an adult superhero by uttering a magic word.
